[12/09 21:11:23] - SEND_MSG,P3_GROUP_29,P3_GROUP_13,hey MAN :)
[12/09 23:00:54] - SEND_MSG,P3_GROUP_29,P3_GROUP_21,HELLO :=)
[12/09 23:19:56] - SEND_MSG,P3_GROUP_29,P3_GROUP_74,hello :)
[12/09 23:20:27] - SEND_MSG,P3_GROUP_29,P3_GROUP_21,hello :)
[12/09 23:39:39] - SEND_MSG,P3_GROUP_29,P3_GROUP_96,hellooo
[12/09 23:43:03] - SEND_MSG,P3_GROUP_29,P3_GROUP_50,Hello stinky
[12/09 23:44:39] - SEND_MSG,P3_GROUP_50,P3_GROUP_29,hey poop head
[13/09 11:17:25] - SEND_MSG,P3_GROUP_29,P3_GROUP_5,hallo
[13/09 11:22:00] - SEND_MSG,P3_GROUP_29,Instructor_1,hello :)
[13/09 11:32:38] - SEND_MSG,P3_GROUP_29,P3_GROUP_47,howdy partner ;)
[13/09 11:34:57] - SEND_MSG,P3_GROUP_29,P3_GROUP_14,howdy partner :=)
[13/09 13:49:09] - SEND_MSG,P3_GROUP_29,P3_GROUP_39,hey BRO :)
[13/09 13:56:16] - SEND_MSG,P3_GROUP_29,P3_GROUP_39,hello :)
[13/09 13:56:39] - SEND_MSG,P3_GROUP_29,P3_GROUP_39,uuu can u send me a message?
[13/09 14:06:11] - SEND_MSG,P3_GROUP_29,P3_GROUP_42,hello :) send me message pls
[13/09 14:14:09] - SEND_MSG,P3_GROUP_29,P3_GROUP_96,Are you receiving keepalive from the instructor server?
[13/09 14:17:14] - SEND_MSG,P3_GROUP_29,P3_GROUP_27,Is the instructor server sending you keepalive?
[13/09 14:17:56] - SEND_MSG,P3_GROUP_29,P3_GROUP_27,does the instructor server send you keepalive?
[13/09 14:30:50] - SEND_MSG,P3_GROUP_29,P3_GROUP_69,hello pls send me a message :) 
[13/09 14:34:56] - SEND_MSG,P3_GROUP_27,P3_GROUP_29,autosentmessage
[13/09 14:34:56] - SEND_MSG,P3_GROUP_27,P3_GROUP_29,autosentmessage
[13/09 14:37:49] - SEND_MSG,P3_GROUP_29,P3_GROUP_80,HOWDY ;)
[13/09 15:52:28] - SEND_MSG,P3_GROUP_29,P3_GROUP_77,hello :)
